SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$overwrite.4
0,0,0,1,0,1,1,0,0,1,1,1,1,0,48.777
0,0,0,0,1,0,1,0,0,1,0,0,0,1,39.56
0,1,0,1,0,1,0,1,0,0,1,0,1,1,38.088
1,1,0,0,0,1,0,0,1,1,0,1,0,1,45.795
1,0,0,1,1,1,0,1,1,1,0,0,1,1,38.653
1,1,1,1,0,0,1,0,1,1,1,0,1,0,40.513
0,1,1,1,1,1,1,0,0,1,0,1,1,0,39.394
1,0,1,0,1,0,0,1,1,1,0,0,0,1,41.545
1,0,1,1,1,0,1,0,1,1,1,1,1,0,44.765
1,0,0,1,1,1,0,1,1,0,1,1,0,0,43.292
0,1,0,1,0,1,1,0,0,1,0,1,0,0,49.023
0,0,0,1,0,1,0,1,0,1,1,1,0,0,45.796
0,1,0,0,1,1,0,0,1,0,1,0,1,0,38.659
0,1,1,1,1,0,0,1,0,1,0,0,1,0,42.377
1,1,0,1,1,0,0,1,1,0,1,0,0,0,38.702
0,0,1,0,1,1,0,1,1,1,0,0,0,0,39.787
1,0,0,0,1,0,0,1,1,0,0,1,0,1,43.639
1,1,0,0,0,0,0,1,0,0,1,1,1,1,43.885
1,1,0,1,0,0,1,0,0,1,0,1,0,0,46.613
0,0,0,0,0,1,0,1,1,0,0,1,0,1,44.616
0,1,1,1,1,0,0,0,0,1,0,0,1,1,41.733
1,0,0,0,1,1,0,0,1,1,1,0,0,0,39.509
0,1,1,1,0,0,0,0,0,0,1,0,1,1,38.467
1,1,1,1,1,0,0,1,0,1,1,0,1,0,41.805
1,1,0,1,0,0,0,0,1,1,0,0,1,1,38.426
0,0,1,0,0,0,1,0,1,1,0,1,0,0,44.99
0,1,1,0,1,1,0,1,1,0,0,1,1,0,46.97
1,0,0,1,1,0,1,1,0,0,0,1,1,0,39.945
