SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$fillseq100K
1,0,0,0,1,1,0,0,0,1,1,0,0,1,433.73
1,1,0,1,1,0,0,1,1,0,0,1,0,0,437.48
1,0,1,1,0,1,0,1,1,1,1,0,1,1,434.77
0,1,1,0,1,1,1,0,0,1,1,0,0,1,432.19
1,1,0,1,0,0,1,1,0,0,1,1,1,0,438.78
0,1,0,1,1,0,1,1,0,1,1,0,1,0,432.87
1,0,0,1,1,0,1,1,0,1,0,1,0,1,438.42
1,1,1,0,1,0,0,0,1,0,0,0,0,1,437.1
0,0,1,1,0,0,1,0,0,1,0,1,0,1,435.44
0,1,1,0,0,0,1,1,0,0,1,0,0,1,430.94
0,1,1,1,1,1,0,0,0,1,1,1,0,1,436.66
1,0,1,0,0,0,1,0,1,0,0,1,0,0,438.24
0,0,1,0,0,1,1,0,1,0,0,0,1,1,437.07
1,1,1,0,0,0,0,1,0,0,1,1,1,1,437.27
0,0,0,1,0,1,1,1,1,1,0,0,0,0,433.84
0,1,1,0,0,0,0,0,1,0,1,1,1,1,434.33
0,1,0,0,0,0,0,1,0,1,1,1,1,0,436.35
0,1,1,1,1,0,1,1,1,1,1,0,0,0,431.05
0,0,0,1,1,0,0,0,0,1,1,1,0,1,438.46
1,0,1,0,0,1,0,0,0,0,0,0,1,1,477.13
1,0,1,0,1,1,0,0,1,1,0,1,0,0,433.8
0,1,1,1,0,1,0,0,0,0,0,1,0,0,433.24
1,0,1,1,0,1,0,1,0,0,0,0,1,1,439.21
0,1,1,1,1,0,0,1,1,1,1,0,0,0,432.92
0,1,0,1,1,0,1,0,0,1,1,0,1,0,435.65
0,0,1,1,1,0,0,1,1,1,1,0,1,0,431.53
1,0,1,1,1,1,1,1,0,1,1,0,1,0,431.69
0,0,1,1,1,0,1,0,0,1,1,1,0,1,434.42
1,1,0,0,0,0,1,1,1,1,1,0,1,0,436.81
0,1,1,1,0,1,0,0,0,0,1,1,1,0,434.3
1,1,1,1,0,1,1,1,1,1,1,0,1,1,429.2
1,1,1,0,0,0,1,0,0,1,1,0,1,1,429.32
1,0,0,0,0,1,1,1,1,1,0,1,1,0,435.72
1,1,0,1,1,0,1,1,0,1,0,1,1,1,432.11
1,0,1,1,1,1,0,0,1,0,1,0,0,1,431.08
0,0,1,1,0,0,1,0,0,0,1,0,1,0,440.36
1,1,0,1,0,1,0,1,0,1,0,0,0,0,429.6
1,1,1,0,0,1,1,0,1,0,0,1,0,0,439.33
1,1,0,1,0,1,1,0,1,1,0,1,0,1,432.78
1,0,1,0,1,0,1,1,0,1,0,1,1,0,431.34
1,0,1,1,0,1,0,0,1,0,1,1,0,1,434.43
1,0,0,0,1,0,0,1,0,1,1,0,1,1,428.34
1,0,0,1,0,0,0,1,1,1,1,0,0,0,428.86
1,0,1,0,0,1,1,1,1,1,1,0,0,1,429.55
1,0,0,0,0,1,0,1,0,0,0,0,1,0,434.41
0,1,1,1,1,1,0,0,1,1,0,0,1,1,440.38
1,1,1,1,1,1,0,1,0,0,0,1,1,0,432.86
1,1,1,1,0,0,1,0,1,1,0,0,1,0,429.04
0,1,0,1,0,0,1,0,1,0,0,1,0,0,437.57
0,1,0,1,1,0,1,0,1,1,1,0,0,1,436.12
0,0,1,1,0,1,0,1,1,0,0,0,0,0,431.89
0,0,1,1,0,1,0,1,0,1,0,0,1,0,431.27
0,0,0,1,1,0,0,0,0,1,1,0,1,0,431.89
0,1,1,0,1,0,0,1,0,0,0,1,1,0,439.02
0,1,1,1,0,1,0,1,0,0,1,1,1,1,433.66
1,1,0,0,1,1,1,0,0,1,1,1,1,1,435.62
1,1,1,0,0,0,0,1,1,0,0,1,1,1,438.56
1,1,1,1,1,1,0,1,1,0,0,0,1,0,427.69
1,1,0,0,0,1,0,1,1,0,1,1,1,0,439.25
0,1,0,0,0,1,0,1,1,0,0,1,0,0,437.63
1,0,1,1,1,1,0,1,1,0,0,1,1,1,445.92
1,0,0,1,1,1,0,0,1,0,1,0,1,1,430.03
0,1,0,1,1,1,0,1,1,0,0,1,1,0,434.78
1,1,1,1,1,1,1,1,1,0,0,0,1,0,439.8
0,0,1,1,1,1,0,1,1,1,1,1,1,1,432.08
0,1,1,0,0,0,0,0,0,1,0,1,1,1,435.15
1,0,1,0,0,0,1,1,1,0,0,0,0,1,435.29
1,1,0,1,0,0,0,0,0,0,0,0,1,0,427.87
0,1,1,0,1,1,1,1,1,1,0,0,1,1,430.25
1,1,1,1,1,0,1,0,1,0,0,0,1,1,433.78
1,1,1,0,0,1,0,0,0,1,1,1,0,0,435.62
0,1,1,1,1,0,1,0,0,1,1,1,1,0,434.04
1,1,1,1,1,0,1,0,1,1,0,1,1,0,434.56
1,0,0,0,1,0,1,1,1,1,0,0,0,0,429.96
0,1,0,0,0,1,0,1,1,0,0,1,1,1,432.79
0,1,0,0,1,0,0,1,1,1,0,0,1,1,428.49
0,1,1,0,0,0,0,0,1,1,0,1,0,1,433.12
1,0,0,1,1,1,0,1,0,1,1,1,1,0,437.7
0,0,1,0,1,0,0,1,1,1,1,0,1,0,428.67
0,1,1,1,1,0,0,1,1,1,1,1,1,1,436.77
1,0,0,1,1,1,0,1,0,1,1,1,0,1,434.57
0,0,0,1,0,0,1,0,0,1,1,1,1,1,434.29
1,0,0,0,1,1,1,0,0,0,0,0,0,0,432.57
1,1,0,1,0,1,1,0,1,1,0,0,0,1,428.34
1,1,1,0,1,0,1,1,0,0,1,1,0,1,450.51
0,0,1,0,0,0,0,0,1,0,0,0,0,1,428.0
1,1,0,1,1,0,1,0,1,1,1,1,1,1,436.38
0,0,1,1,1,1,0,1,0,0,0,1,0,1,434.83
0,0,1,1,1,1,1,0,1,0,0,1,0,0,436.63
0,1,1,1,0,0,0,0,0,1,1,1,1,1,433.62
0,1,1,0,1,1,0,0,1,1,1,1,0,1,440.46
1,0,0,1,1,1,1,0,0,1,0,1,0,0,438.25
0,1,0,1,1,1,1,1,1,0,0,1,1,1,439.27
1,0,1,1,0,0,0,0,0,0,1,1,1,0,441.23
1,1,0,0,0,1,0,1,0,1,1,1,0,1,439.3
0,1,0,0,0,0,0,1,1,0,0,0,0,1,431.06
0,1,1,0,1,0,1,0,0,0,0,1,1,1,436.01
1,0,1,1,0,0,0,0,1,1,1,0,0,0,441.03
1,1,1,0,1,1,0,1,1,0,0,1,0,1,439.64
0,1,1,1,1,1,1,0,0,1,0,0,0,0,431.68
1,0,1,0,1,1,0,1,1,1,1,1,1,0,439.25
