SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$fillseq100K
0,0,1,1,0,1,1,1,0,1,0,0,0,1,426.9
0,0,1,1,0,1,1,0,0,0,0,1,0,0,431.02
1,1,0,1,1,1,1,0,1,1,0,0,0,0,437.06
1,1,0,0,0,0,0,1,0,1,0,1,1,0,436.11
0,0,1,0,0,0,1,0,1,0,0,1,1,0,435.95
0,0,0,0,1,0,0,1,0,1,1,1,1,1,435.97
0,1,0,1,1,1,0,1,0,0,0,1,1,1,432.37
1,0,0,0,1,0,0,0,0,1,0,1,1,1,433.21
1,0,1,1,0,0,0,1,1,0,1,0,1,0,430.12
0,0,1,0,1,1,1,1,0,0,0,0,0,1,433.95
1,0,0,0,0,1,0,0,1,0,0,1,1,0,431.96
1,0,0,0,1,1,1,1,0,1,0,0,0,1,430.56
0,1,1,1,0,0,0,0,0,0,0,0,1,1,435.68
1,1,0,1,0,1,0,1,1,1,0,0,0,0,432.31
0,1,1,1,0,0,0,1,1,1,0,0,0,0,431.62
0,1,1,1,1,1,0,0,1,1,1,1,1,1,432.31
1,0,0,0,0,0,0,0,0,0,1,0,1,0,428.87
0,1,0,1,0,0,0,1,1,1,0,1,0,0,438.3
0,1,0,0,0,0,1,1,1,1,1,0,0,1,432.07
0,0,0,0,0,1,0,0,1,0,0,0,0,1,436.51
1,1,0,1,1,1,0,1,0,0,1,1,1,1,433.0
0,0,1,0,0,1,1,1,0,1,0,1,1,1,435.06
0,0,0,1,1,1,0,0,1,0,1,1,1,0,438.19
0,1,0,0,1,1,0,0,1,0,0,0,0,0,429.87
1,0,0,0,0,1,1,1,0,0,0,1,0,0,432.81
1,1,0,1,0,0,0,1,1,0,0,1,1,1,436.07
1,1,0,0,0,1,1,1,0,0,0,0,1,0,433.05
1,0,0,1,1,0,0,1,1,1,1,1,1,1,434.4
0,1,1,0,1,0,1,1,1,0,0,1,1,1,434.24
0,1,0,1,1,0,1,1,0,0,0,0,1,0,429.95
1,0,0,0,1,1,1,1,1,1,1,0,0,0,436.06
1,0,1,1,0,1,0,1,0,0,1,1,0,1,431.24
1,0,1,0,1,0,0,1,1,0,1,0,0,1,441.21
1,1,1,1,1,1,1,1,1,1,1,0,1,1,432.98
1,1,1,0,1,1,0,0,1,1,0,1,1,1,436.86
0,1,0,1,1,0,0,0,1,0,1,0,0,1,428.21
1,0,1,0,1,1,0,1,1,1,1,0,1,1,427.52
0,0,0,1,1,0,1,1,0,1,1,1,0,0,438.6
1,0,0,0,0,1,0,1,1,0,1,0,0,1,430.02
1,0,1,0,0,1,1,1,1,1,0,0,1,0,431.0
0,0,0,1,0,0,1,1,1,1,1,0,1,1,431.93
0,0,0,0,1,0,1,1,1,1,1,1,0,0,432.84
0,1,1,0,0,0,1,0,1,0,1,0,1,0,430.93
0,1,0,0,1,0,1,0,0,0,1,0,0,0,429.19
1,0,0,1,1,1,0,1,0,1,1,1,1,1,442.38
1,1,0,0,1,0,0,0,1,1,1,1,1,0,434.44
1,1,0,1,0,0,0,0,0,1,0,1,1,1,433.4
0,0,1,1,1,1,1,0,1,1,0,1,1,0,432.76
0,1,1,0,0,0,1,0,1,0,0,0,1,0,436.67
0,1,0,1,1,0,1,1,0,1,1,1,0,0,435.38
0,1,1,0,0,1,0,0,1,1,1,1,1,1,434.47
1,0,1,1,0,1,1,0,1,1,0,1,0,0,432.43
0,1,0,1,0,0,1,1,1,0,1,0,0,1,432.65
1,0,1,1,0,0,1,0,1,0,1,1,1,1,434.32
0,0,1,1,0,1,1,0,1,0,1,0,0,1,429.12
0,0,0,1,1,1,0,1,0,1,0,1,0,1,431.79
1,1,1,0,0,0,0,1,1,1,1,1,0,1,436.42
0,1,0,0,0,1,0,0,1,1,0,0,1,0,430.12
1,0,0,1,1,1,1,0,1,0,0,0,1,1,427.53
1,1,0,1,1,1,1,1,0,1,1,1,1,1,433.17
1,0,1,0,0,1,0,0,1,1,1,0,0,1,431.75
0,1,0,1,1,0,1,1,1,1,1,1,0,0,432.59
1,0,0,1,0,1,0,0,0,1,1,0,0,1,434.83
0,1,0,1,0,1,1,1,0,0,1,1,1,0,431.48
1,0,1,1,0,0,0,1,1,0,1,1,1,1,439.19
1,0,1,1,0,0,0,0,1,0,1,1,1,1,433.39
0,1,1,1,1,0,1,1,0,1,0,1,0,1,436.52
1,1,1,1,1,1,1,0,0,0,0,0,0,1,440.44
1,0,0,0,1,0,0,0,1,1,1,0,0,1,430.64
0,0,0,0,1,0,1,0,1,1,1,0,0,0,431.52
0,1,1,1,0,1,1,1,0,1,1,0,1,0,441.88
0,1,1,0,0,0,1,0,1,0,1,1,1,0,436.6
0,0,0,0,0,1,0,0,0,0,0,1,0,1,433.05
1,1,0,0,0,1,1,1,0,0,1,1,1,0,432.44
1,0,0,0,0,0,1,0,0,0,0,1,0,0,440.55
1,1,0,1,1,1,0,1,0,1,0,1,1,0,444.63
0,1,0,1,1,1,1,0,1,1,1,0,1,1,440.59
0,1,0,1,1,0,0,0,0,0,0,0,0,1,429.99
1,1,0,1,0,0,0,1,1,1,0,0,1,0,568.15
0,1,0,1,1,0,0,0,0,0,1,1,1,0,435.24
0,1,1,1,0,1,1,1,1,1,0,0,1,1,432.39
0,0,1,1,1,0,1,1,0,1,1,0,1,1,434.14
1,1,0,0,0,0,1,0,1,1,0,1,0,1,433.09
0,0,0,0,1,0,1,1,0,0,1,1,1,0,433.44
1,1,0,1,0,0,0,0,0,0,1,0,0,0,432.44
0,1,1,0,0,0,1,1,0,1,0,0,1,0,430.32
1,0,1,1,1,1,0,0,1,0,1,0,0,1,434.97
1,1,1,1,0,0,1,0,1,1,1,1,0,0,433.56
1,0,1,0,0,0,1,1,0,0,0,0,0,0,432.57
1,1,1,0,1,1,0,0,1,0,0,0,0,0,437.49
1,1,0,0,1,1,0,0,1,0,0,1,0,0,438.49
0,0,0,1,1,0,1,0,0,1,0,0,0,0,434.49
0,0,0,0,1,1,0,0,1,0,1,1,0,0,431.14
0,0,1,1,0,0,1,1,1,1,1,0,0,1,436.88
1,0,1,0,0,0,0,1,0,1,0,0,0,0,438.59
0,0,1,0,1,1,0,0,1,0,0,1,1,0,439.26
0,0,0,1,1,1,0,1,0,1,0,1,1,1,431.54
1,1,1,1,1,0,1,0,0,1,1,0,1,0,430.37
0,1,1,1,0,1,1,1,0,0,1,1,1,1,433.01
0,0,1,1,0,1,0,0,1,0,0,0,1,0,427.24
0,1,1,1,1,0,0,1,0,0,1,1,0,1,431.61
0,0,1,1,0,0,1,1,0,0,1,0,0,1,437.72
1,1,1,0,1,1,1,0,1,0,0,0,1,0,427.47
1,1,0,0,1,0,1,0,0,1,0,0,0,0,453.08
0,0,1,1,1,1,0,1,0,1,0,1,1,1,439.55
0,0,1,1,1,0,1,0,0,1,1,0,1,1,428.17
0,1,0,0,1,0,0,0,1,1,0,0,1,0,437.59
0,0,1,0,0,0,1,1,0,0,1,1,0,0,431.88
1,1,0,0,0,0,0,1,1,1,1,0,0,0,429.81
0,1,0,0,1,0,0,0,0,1,1,0,1,0,430.0
0,0,1,1,0,0,0,1,0,0,0,0,0,0,433.37
1,0,1,0,1,0,0,0,1,0,0,1,0,0,437.08
1,0,1,1,1,0,0,1,0,0,0,1,1,0,430.97
0,1,1,0,0,0,1,1,0,1,0,0,0,1,429.73
1,0,1,1,0,0,0,0,0,0,1,0,1,0,430.31
1,0,0,0,0,0,1,0,0,1,1,0,1,1,429.35
1,1,1,1,0,1,0,1,0,0,0,1,1,0,433.29
0,1,1,0,0,0,0,0,1,1,1,1,0,0,434.25
1,1,1,1,0,0,0,1,1,1,0,0,0,0,433.31
0,0,0,1,1,0,0,0,0,1,1,0,1,0,433.95
1,1,0,0,1,0,0,0,1,1,0,0,1,0,429.63
0,1,1,0,0,0,1,0,1,1,0,0,1,1,428.52
1,1,1,0,0,1,0,0,1,1,0,1,1,0,434.01
0,1,0,1,0,1,1,1,1,1,1,0,1,1,430.11
0,1,1,0,0,1,0,0,1,0,1,1,0,0,433.71
1,0,0,0,1,1,0,0,1,1,0,1,1,1,432.01
0,0,1,0,0,1,1,1,1,0,1,1,1,0,431.32
0,1,0,1,1,0,1,1,1,0,1,0,0,1,430.32
1,0,1,0,0,0,0,0,1,0,0,0,1,1,430.55
0,1,1,0,0,0,1,0,0,0,0,0,1,1,429.81
0,1,1,0,0,1,0,0,0,1,1,1,1,1,437.02
0,1,0,1,0,0,0,0,0,0,0,0,1,1,432.4
0,0,1,0,1,0,0,1,1,0,1,0,0,0,432.76
1,1,0,0,0,1,1,0,1,0,0,1,0,1,439.46
1,0,0,0,0,0,1,0,1,1,0,0,1,1,434.33
0,1,1,1,0,1,0,0,1,0,1,0,1,0,435.92
0,0,0,1,0,0,0,1,1,0,0,0,1,0,434.16
1,0,1,0,1,0,0,0,0,1,0,1,1,0,444.31
1,0,0,1,1,0,1,0,1,1,1,0,0,1,430.38
1,1,1,0,1,0,1,0,1,1,0,0,1,1,435.61
0,1,1,1,0,0,1,1,1,0,1,1,1,0,441.27
1,1,0,1,1,0,1,1,1,0,0,1,1,0,438.28
1,0,1,0,0,1,0,1,0,1,1,0,1,0,427.91
0,1,0,0,1,0,0,0,1,0,1,0,1,1,430.96
1,0,0,1,1,0,1,0,0,0,1,0,0,0,431.65
1,0,1,0,1,1,1,0,0,1,0,0,0,1,436.68
1,1,1,1,0,0,0,1,1,1,1,1,0,1,436.68
1,1,1,0,0,0,0,1,0,1,0,1,0,0,443.36
1,0,0,1,1,1,0,0,0,0,0,0,0,1,433.35
0,1,1,1,0,0,0,1,1,0,1,1,0,1,433.17
0,1,0,1,1,0,0,0,0,0,0,1,0,1,438.45
0,0,0,0,0,1,1,0,1,1,1,0,0,0,428.92
0,1,1,0,0,0,0,1,0,1,1,0,1,0,431.03
0,1,1,0,1,1,0,0,0,1,0,1,1,1,435.5
1,1,1,1,0,1,1,1,0,1,0,0,1,0,429.21
0,1,0,0,1,0,1,0,1,1,0,1,0,0,433.84
1,1,0,1,0,1,1,0,0,1,1,1,1,0,432.87
1,1,1,0,1,0,1,1,1,0,1,0,0,1,431.81
1,0,0,0,0,1,1,0,1,1,1,1,1,0,438.05
0,0,1,1,0,1,1,1,1,1,1,0,0,0,437.32
0,1,0,1,1,0,1,1,1,0,0,0,1,1,439.58
1,0,1,1,0,0,1,0,1,0,0,1,1,1,431.03
0,1,0,0,1,0,1,0,1,0,0,0,1,1,432.0
1,1,1,1,1,0,1,0,1,1,0,0,0,0,441.62
0,1,0,1,0,0,1,0,0,1,1,1,0,0,433.36
1,1,1,1,1,1,1,1,1,1,0,0,0,0,431.62
0,1,0,1,1,0,1,0,1,0,1,1,0,0,433.14
1,0,0,1,1,0,0,0,0,1,1,0,0,1,428.7
1,1,0,1,0,1,1,0,0,1,1,1,0,0,432.48
0,0,1,1,1,1,0,0,1,0,0,0,0,1,430.01
0,0,1,0,0,0,0,0,1,1,1,1,0,0,435.79
0,0,1,0,0,1,0,0,0,0,1,0,1,0,433.94
1,0,1,0,0,1,1,0,0,1,1,0,0,0,436.34
1,0,0,1,0,0,1,0,1,0,1,1,0,1,436.29
0,0,1,1,1,0,1,0,0,1,1,0,1,0,429.34
1,1,1,1,0,1,1,0,0,0,1,0,1,1,428.67
1,1,0,1,1,1,0,1,0,0,1,1,1,1,437.88
0,1,0,1,1,0,1,0,1,0,0,0,0,0,432.69
1,0,0,0,1,0,1,1,1,0,0,1,1,1,438.44
0,0,1,0,1,1,1,0,0,0,0,1,1,0,435.28
1,0,1,0,0,1,1,0,0,0,1,0,1,0,432.06
0,0,0,0,1,1,0,1,1,1,1,1,0,1,434.33
0,0,0,1,0,1,1,0,0,1,0,0,1,1,430.92
1,1,0,1,0,0,0,0,1,1,1,1,0,0,436.84
0,1,1,1,0,1,0,1,1,0,1,1,1,1,433.01
0,1,1,1,0,1,1,1,0,0,0,1,1,1,432.6
1,0,0,0,0,0,1,0,0,1,0,1,1,0,434.31
1,1,1,0,1,1,1,1,0,0,0,0,1,1,433.07
1,1,1,1,0,0,0,1,1,0,1,0,0,0,438.01
0,0,0,1,0,0,1,1,1,1,0,1,0,0,435.07
0,0,1,1,0,1,0,0,0,1,1,0,1,0,430.73
0,0,0,1,1,0,0,1,0,1,0,1,1,1,438.27
1,1,0,1,1,1,0,1,0,0,1,0,0,1,434.0
1,0,1,1,1,1,1,1,0,1,0,0,0,1,431.78
0,0,1,0,1,0,1,0,1,0,0,0,1,0,430.09
0,1,0,0,0,1,0,0,0,0,0,1,1,0,437.06
0,0,1,0,1,0,0,0,0,1,1,0,0,0,430.29
1,1,0,1,0,1,1,0,1,0,0,0,1,1,437.17
1,0,0,1,0,0,0,1,1,0,1,0,1,1,436.17
1,1,0,1,1,0,1,0,0,1,1,0,0,1,429.79
0,0,0,0,1,0,0,0,1,1,1,0,1,1,433.09
0,1,1,0,0,0,0,1,0,1,0,1,1,1,437.19
1,0,1,0,0,1,0,0,1,0,1,0,0,0,426.75
0,1,0,1,1,1,0,0,1,0,1,0,0,0,431.21
0,1,1,0,0,0,1,0,0,1,1,0,1,1,433.57
1,0,0,1,1,0,1,1,0,1,0,1,1,1,439.76
1,0,1,1,0,1,0,1,1,0,1,1,1,1,440.91
0,0,1,1,1,0,1,1,1,1,1,0,1,1,429.86
1,0,1,1,1,0,1,1,1,0,0,0,0,0,428.72
1,0,1,1,1,1,0,0,0,0,1,0,1,0,435.74
0,0,1,0,0,0,1,1,0,1,0,1,1,0,431.26
1,1,1,0,1,1,1,1,0,0,0,1,1,1,434.14
0,1,0,1,0,1,1,0,1,0,1,0,1,1,432.87
0,1,1,1,0,0,0,0,1,1,1,0,0,0,438.24
0,1,0,1,0,1,0,1,0,0,0,0,1,1,431.29
1,1,0,0,1,0,0,1,0,0,0,1,1,0,431.97
0,1,0,1,1,0,0,0,1,0,1,0,0,1,435.42
0,1,1,0,0,1,1,0,0,1,0,0,0,0,433.85
0,0,1,1,1,1,1,0,0,1,0,1,1,1,438.12
1,0,1,1,1,1,0,1,0,1,0,0,0,1,434.16
1,1,1,0,1,0,1,0,1,1,0,0,0,0,433.88
1,0,0,0,1,1,0,1,1,0,1,1,1,1,433.85
0,1,1,0,1,1,1,1,1,1,1,0,1,1,437.75
0,0,1,0,1,1,1,1,1,0,1,1,0,1,436.39
0,0,1,1,1,0,0,1,1,1,0,1,1,1,438.15
0,0,0,0,1,0,1,1,0,1,0,0,0,0,432.36
1,1,1,1,1,1,1,1,0,0,0,0,1,1,430.64
0,0,1,1,0,0,0,1,1,0,0,0,1,1,429.55
0,0,1,0,1,1,1,0,1,1,1,1,0,0,432.96
0,1,0,1,1,0,0,0,1,1,0,0,1,1,430.52
0,0,1,1,1,0,1,0,0,1,1,1,1,0,437.98
0,0,0,1,0,0,0,0,1,0,1,1,0,1,437.89
0,0,0,0,0,1,1,0,1,1,1,0,0,1,428.83
1,0,1,1,1,1,0,1,1,1,0,1,1,0,437.15
1,0,0,0,1,0,1,1,0,0,1,0,1,0,428.5
1,0,0,0,1,0,1,0,1,0,1,0,1,0,431.57
0,0,0,1,0,1,1,1,0,0,1,1,1,0,437.13
1,1,0,1,1,1,0,1,1,0,0,1,0,1,433.33
0,1,0,0,0,1,1,1,0,1,0,0,1,0,430.2
1,1,1,0,0,1,1,1,1,1,0,1,1,1,431.6
1,1,0,1,1,0,1,1,0,1,0,0,0,1,433.35
0,1,1,0,0,1,0,1,0,0,1,1,0,1,434.47
1,1,1,0,0,1,0,1,0,1,1,1,0,0,433.56
1,1,0,1,1,1,1,0,0,0,1,0,1,0,432.01
1,0,0,0,0,0,1,0,0,1,0,1,1,1,436.53
1,1,0,1,1,0,1,1,0,1,0,1,0,1,434.68
0,1,1,0,0,1,0,0,1,1,0,0,1,1,429.79
1,1,1,1,1,1,1,0,1,1,1,0,0,0,432.17
1,1,1,0,1,1,1,0,1,1,0,0,1,1,435.29
0,0,1,0,1,1,1,1,1,0,0,1,1,1,430.62
1,0,0,1,1,1,1,1,1,1,0,1,0,1,434.21
1,0,1,1,1,0,0,0,1,1,0,0,1,1,430.62
1,0,0,1,1,1,1,0,1,1,1,1,1,0,435.33
0,0,1,1,1,0,1,1,1,1,0,1,0,0,431.63
1,0,0,0,0,0,1,0,1,1,0,0,0,1,432.2
0,1,0,0,1,0,1,0,1,0,0,0,1,0,432.83
1,0,0,1,1,1,0,1,0,0,0,1,1,1,430.62
0,0,1,0,0,1,1,1,1,0,0,0,0,1,434.43
1,1,0,1,1,0,1,1,0,0,1,0,0,0,429.29
0,1,0,0,1,1,1,1,1,0,1,1,0,1,431.87
1,0,1,0,1,0,1,1,1,1,1,0,0,1,427.91
1,0,0,0,1,0,1,1,1,0,1,0,0,1,433.44
0,0,1,1,1,0,1,0,1,1,1,1,0,1,430.36
1,1,1,1,0,0,0,0,0,0,0,0,1,0,433.38
0,1,1,1,1,0,0,1,0,0,0,0,1,1,429.69
1,1,0,1,1,0,1,0,1,0,1,1,0,1,438.22
1,0,1,0,1,1,1,0,1,0,1,1,0,1,438.15
0,0,0,1,0,1,0,0,1,0,0,1,0,0,432.8
0,0,0,1,0,0,1,0,1,0,0,0,0,1,435.79
0,1,1,1,1,0,0,0,1,0,1,1,0,0,435.25
0,1,0,1,0,0,0,0,1,1,1,1,1,0,433.01
0,0,0,1,1,1,0,1,1,1,1,1,1,1,436.81
1,1,1,0,0,0,1,1,0,1,1,1,0,0,432.36
0,1,0,0,0,1,1,1,0,0,1,0,1,0,428.09
1,1,0,1,0,0,0,0,0,0,0,0,1,0,427.91
0,0,1,1,0,0,1,0,1,1,1,1,1,1,432.85
1,1,1,1,1,0,1,0,1,0,1,1,1,1,441.36
1,0,1,1,1,0,0,0,0,1,1,1,0,1,433.79
0,0,0,1,0,0,1,0,1,1,0,0,0,1,430.8
1,0,0,1,0,1,0,0,1,0,1,1,1,1,437.84
1,1,0,0,1,0,1,0,0,0,0,0,1,1,428.75
0,1,1,0,0,1,0,0,0,1,1,1,0,1,433.69
1,1,1,0,0,0,0,0,1,0,0,0,0,1,434.7
0,0,1,0,1,1,0,0,0,0,1,0,0,1,439.93
1,1,1,1,0,1,1,0,0,1,1,0,1,1,434.48
0,1,0,0,1,1,0,0,0,1,1,1,0,0,436.48
0,0,0,1,0,0,0,0,0,1,1,0,0,1,438.15
0,0,1,1,1,1,1,0,0,0,1,1,1,1,435.36
0,0,1,1,0,1,0,1,1,1,1,1,0,1,439.51
0,0,1,0,1,0,1,0,1,1,0,1,0,0,432.42
1,1,1,0,0,1,0,1,0,1,0,0,1,0,429.43
0,1,1,0,0,0,0,1,0,1,1,1,1,1,435.33
0,0,0,1,1,1,0,0,0,1,1,1,1,0,435.15
0,1,0,0,0,1,1,0,1,1,1,1,1,0,435.56
1,1,0,1,0,0,1,1,1,0,1,0,1,0,433.3
1,0,1,0,1,0,1,0,0,1,1,1,1,1,432.59
1,1,0,0,0,1,0,1,0,1,1,0,1,0,433.44
1,1,0,1,1,1,0,0,1,1,1,1,1,0,434.08
0,1,1,1,0,0,0,1,1,1,1,1,0,0,439.95
0,1,1,1,0,1,0,0,0,0,0,0,0,0,430.93
1,0,1,0,0,0,1,0,0,0,1,0,1,0,428.09
1,0,0,0,1,0,1,1,0,1,0,0,0,1,431.54
0,0,1,0,0,1,0,0,0,0,0,0,1,1,434.26
0,1,0,0,1,0,0,0,0,1,0,0,1,1,436.74
0,0,1,0,1,0,1,1,0,0,1,1,0,0,434.49
1,1,0,1,0,0,0,1,0,1,1,1,0,1,444.71
0,0,1,0,0,1,0,0,1,0,0,1,0,1,436.22
0,0,0,1,0,1,1,0,0,0,1,1,0,0,437.85
0,0,1,1,1,0,0,0,1,0,0,0,0,1,433.03
0,1,0,1,1,0,0,0,1,0,1,0,0,0,435.08
1,0,0,0,0,0,1,0,1,0,1,1,1,1,432.36
0,0,0,1,0,0,0,0,0,0,1,0,0,0,430.0
1,1,1,1,0,0,0,0,1,1,1,1,1,0,434.32
0,0,0,0,0,0,1,1,0,0,0,0,1,1,429.06
0,1,0,0,0,1,1,0,1,0,1,1,0,0,441.63
0,0,0,0,1,1,0,1,1,1,0,0,0,0,437.29
0,0,1,0,0,0,1,1,1,0,0,0,0,1,433.64
0,0,1,0,1,0,1,0,0,0,1,1,1,1,438.14
0,0,1,1,0,1,1,1,1,0,0,0,1,0,435.68
0,0,1,0,1,1,0,1,0,1,0,0,1,1,436.88
1,1,0,1,0,0,0,0,0,0,0,1,1,0,432.84
0,1,1,0,0,0,1,0,1,1,0,0,0,0,436.9
1,1,0,1,1,1,0,0,0,1,0,0,0,1,429.4
1,0,1,0,1,1,0,0,1,1,1,0,1,1,432.59
1,0,0,0,1,1,1,0,0,1,1,0,1,1,428.64
1,1,1,0,1,0,1,0,1,1,1,0,0,0,436.45
1,1,0,1,0,0,1,0,0,0,1,0,1,1,432.97
1,1,1,0,0,1,1,0,1,0,0,0,0,0,441.31
1,1,0,0,0,0,0,1,1,0,0,1,1,0,437.85
0,0,1,1,0,0,1,1,0,0,0,1,1,1,432.19
0,1,0,1,0,1,0,1,1,1,1,1,0,1,438.03
0,1,1,0,1,1,0,1,0,1,0,0,1,1,430.3
1,1,1,0,0,1,0,0,0,1,0,1,1,0,436.11
1,0,1,0,0,1,0,0,1,0,1,1,1,1,437.82
1,1,0,1,0,1,0,0,0,1,0,0,1,0,428.73
0,0,1,1,0,1,1,0,0,1,0,1,1,0,444.44
0,1,0,0,1,0,1,1,0,1,0,1,1,1,434.3
0,1,0,1,0,0,0,1,0,1,1,1,0,1,439.75
1,0,1,1,1,0,0,0,1,1,1,0,1,1,434.0
0,1,0,0,0,0,1,0,0,1,1,1,0,1,433.25
0,0,0,1,0,1,1,0,1,1,1,1,1,1,437.12
1,0,0,0,0,1,0,0,1,0,0,1,1,0,436.69
0,0,0,0,0,1,0,0,1,1,1,0,0,1,434.15
1,0,1,1,0,0,1,1,0,1,1,1,1,1,433.15
0,0,0,0,1,0,1,1,0,0,1,1,0,0,439.93
0,1,1,1,1,0,1,1,0,1,1,0,1,0,430.0
0,1,1,0,1,0,1,0,1,0,0,1,1,1,433.55
1,1,0,1,0,1,0,0,1,0,1,0,1,1,431.39
0,0,1,1,1,0,1,1,0,0,0,1,1,1,431.32
1,1,1,0,0,0,0,1,1,0,0,0,1,0,431.63
0,0,0,1,0,1,1,1,1,0,0,1,0,1,432.68
1,1,0,0,0,0,1,0,1,1,1,0,0,1,433.04
0,1,1,0,1,0,0,1,1,0,0,0,0,1,429.51
1,1,0,1,0,1,1,0,0,1,1,1,0,1,442.56
1,1,1,0,1,0,1,0,1,0,0,1,0,0,434.24
0,1,1,0,1,0,0,1,1,1,0,0,0,0,431.4
1,1,0,0,0,0,1,1,0,1,0,0,1,1,426.54
0,1,1,0,1,0,1,1,1,1,0,0,0,1,429.21
0,0,1,0,1,1,0,1,0,0,0,1,1,0,432.33
0,1,0,1,1,1,1,0,1,1,1,1,0,1,444.92
0,0,1,1,0,0,0,0,1,1,0,0,0,0,438.32
1,1,0,0,0,1,0,0,1,0,1,1,0,1,437.25
0,1,0,1,0,1,1,0,1,1,0,0,1,0,432.29
0,0,1,1,0,0,0,1,1,0,1,1,1,0,434.21
0,0,1,1,0,1,0,1,1,0,1,1,0,1,435.64
0,1,0,0,0,1,0,0,1,0,1,0,0,1,435.57
1,0,1,0,0,1,0,1,1,1,0,1,1,1,433.97
0,1,1,1,1,0,0,0,1,0,0,0,0,0,430.4
1,1,0,1,0,1,0,1,0,1,1,0,1,1,430.4
1,1,1,1,1,1,0,1,1,0,0,1,1,0,434.53
0,1,0,1,0,0,0,1,0,0,1,0,0,0,430.58
0,1,0,0,1,0,1,1,1,0,1,1,1,1,434.5
1,1,0,1,0,1,0,0,0,0,0,0,0,1,428.53
0,1,1,0,1,0,1,0,1,0,0,1,1,0,434.87
0,0,0,0,0,1,1,1,0,0,0,0,0,1,432.35
0,1,1,0,0,1,1,1,0,0,0,0,1,1,426.94
1,0,0,1,1,1,0,1,1,0,1,1,1,1,436.44
0,1,0,0,1,1,1,0,0,1,0,0,1,1,434.98
1,0,0,1,1,0,0,0,0,1,0,1,0,1,434.62
0,1,0,0,0,0,0,1,1,0,1,0,0,1,433.34
1,1,1,0,0,1,1,0,0,0,1,0,0,1,433.38
0,1,0,1,0,1,1,0,0,0,1,0,1,0,428.69
1,1,1,0,0,1,0,1,1,1,1,1,0,0,434.89
1,1,0,1,0,1,0,0,1,1,1,0,0,1,428.15
0,0,0,0,1,0,0,1,0,1,1,1,0,1,440.5
1,1,0,1,0,1,0,0,0,0,0,1,0,0,434.29
1,1,1,0,0,1,1,1,0,1,0,0,0,0,439.52
1,1,1,1,0,0,0,0,1,0,0,0,1,0,434.11
1,0,1,1,0,1,0,1,1,1,0,1,0,0,435.15
1,0,0,1,1,1,1,1,0,0,1,1,0,1,435.82
0,0,1,1,0,1,0,1,0,1,1,1,1,0,437.74
1,1,1,0,0,1,0,0,0,1,0,0,1,0,427.76
0,0,1,1,0,0,0,0,0,1,0,0,0,0,433.63
1,1,0,0,0,1,0,0,0,0,1,0,0,1,433.9
0,1,0,1,0,1,0,1,0,0,0,0,0,0,428.83
0,1,1,1,1,1,0,0,1,0,0,1,0,0,436.82
1,0,1,1,1,0,1,0,1,0,1,0,0,1,433.61
0,0,1,1,0,1,1,1,1,0,0,1,0,1,441.48
1,1,1,1,0,0,0,0,0,1,1,1,0,0,432.21
1,1,1,1,1,1,1,0,0,0,0,0,0,0,433.77
0,0,1,0,0,0,0,0,0,0,1,0,1,0,435.03
0,1,1,0,1,1,1,0,0,0,1,0,1,1,429.43
0,0,1,1,1,0,0,0,0,0,0,1,1,0,434.99
1,0,1,1,0,1,1,1,1,0,0,0,1,1,436.15
1,1,0,0,1,0,0,1,1,1,0,0,0,0,473.36
0,1,0,1,0,0,0,1,1,0,0,1,0,1,434.89
1,0,0,0,1,0,1,0,1,0,0,1,0,1,432.76
1,1,0,0,0,1,0,0,1,0,1,0,0,1,428.91
1,0,0,1,0,0,0,1,0,1,1,0,1,0,429.4
0,0,1,1,1,0,0,0,0,0,1,1,0,0,432.79
0,0,0,1,0,1,1,0,1,0,1,0,0,0,433.61
1,1,0,1,1,0,0,0,0,1,0,1,0,1,429.64
0,0,0,0,0,1,1,1,1,0,0,0,0,0,433.95
0,1,1,0,0,1,0,1,0,0,0,0,1,1,430.73
0,0,0,0,0,1,0,1,1,1,0,1,1,0,433.47
1,1,0,0,1,1,0,0,0,1,0,0,1,1,435.21
1,1,0,0,0,1,0,0,1,0,0,1,1,1,440.5
0,1,1,0,1,0,0,0,0,1,0,1,0,1,431.79
1,0,0,0,0,1,1,0,1,0,0,1,0,0,442.13
0,0,1,0,1,1,0,0,1,0,1,1,0,1,439.76
0,1,1,1,0,1,0,0,1,0,1,1,0,0,436.61
0,1,1,1,0,1,1,0,0,1,0,0,1,0,436.74
1,1,1,0,1,1,1,1,0,0,0,0,1,1,429.92
0,1,0,0,0,1,0,0,0,0,0,0,1,1,438.99
0,0,1,0,0,0,1,1,1,1,1,0,0,1,435.86
1,1,0,1,1,1,1,0,0,1,1,0,0,0,428.52
0,1,0,1,0,1,1,1,0,0,0,1,0,0,437.92
