SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$fillrand100K.3
0,0,0,1,0,1,1,0,0,1,1,1,1,0,445.63
0,0,0,0,1,0,1,0,0,1,0,0,0,1,444.6
0,1,0,1,0,1,0,1,0,0,1,0,1,1,441.99
1,1,0,0,0,1,0,0,1,1,0,1,0,1,449.3
1,0,0,1,1,1,0,1,1,1,0,0,1,1,450.44
1,1,1,1,0,0,1,0,1,1,1,0,1,0,444.49
0,1,1,1,1,1,1,0,0,1,0,1,1,0,446.74
1,0,1,0,1,0,0,1,1,1,0,0,0,1,442.7
1,0,1,1,1,0,1,0,1,1,1,1,1,0,444.65
1,0,0,1,1,1,0,1,1,0,1,1,0,0,447.7
0,1,0,1,0,1,1,0,0,1,0,1,0,0,443.52
0,0,0,1,0,1,0,1,0,1,1,1,0,0,446.05
0,1,0,0,1,1,0,0,1,0,1,0,1,0,447.73
0,1,1,1,1,0,0,1,0,1,0,0,1,0,441.44
1,1,0,1,1,0,0,1,1,0,1,0,0,0,453.15
0,0,1,0,1,1,0,1,1,1,0,0,0,0,444.45
1,0,0,0,1,0,0,1,1,0,0,1,0,1,448.07
1,1,0,0,0,0,0,1,0,0,1,1,1,1,445.79
1,1,0,1,0,0,1,0,0,1,0,1,0,0,448.32
0,0,0,0,0,1,0,1,1,0,0,1,0,1,445.54
0,1,1,1,1,0,0,0,0,1,0,0,1,1,440.06
1,0,0,0,1,1,0,0,1,1,1,0,0,0,443.62
0,1,1,1,0,0,0,0,0,0,1,0,1,1,442.63
1,1,1,1,1,0,0,1,0,1,1,0,1,0,442.27
1,1,0,1,0,0,0,0,1,1,0,0,1,1,443.9
0,0,1,0,0,0,1,0,1,1,0,1,0,0,444.73
0,1,1,0,1,1,0,1,1,0,0,1,1,0,449.73
1,0,0,1,1,0,1,1,0,0,0,1,1,0,449.46
1,1,1,0,0,0,1,0,1,0,0,0,0,1,445.05
0,0,0,0,1,0,0,0,1,0,1,0,1,0,446.86
0,0,0,0,1,0,0,0,0,1,1,1,1,0,450.72
1,0,1,1,1,1,0,1,0,0,0,1,0,0,451.14
