SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$overwritebatch.1
0,0,0,1,0,1,1,0,0,1,1,1,1,0,19.904
0,0,0,0,1,0,1,0,0,1,0,0,0,1,18.965
0,1,0,1,0,1,0,1,0,0,1,0,1,1,18.949
1,1,0,0,0,1,0,0,1,1,0,1,0,1,19.996
1,0,0,1,1,1,0,1,1,1,0,0,1,1,18.837
1,1,1,1,0,0,1,0,1,1,1,0,1,0,19.173
0,1,1,1,1,1,1,0,0,1,0,1,1,0,19.806
1,0,1,0,1,0,0,1,1,1,0,0,0,1,18.952
1,0,1,1,1,0,1,0,1,1,1,1,1,0,19.738
1,0,0,1,1,1,0,1,1,0,1,1,0,0,20.503
0,1,0,1,0,1,1,0,0,1,0,1,0,0,19.798
0,0,0,1,0,1,0,1,0,1,1,1,0,0,19.68
0,1,0,0,1,1,0,0,1,0,1,0,1,0,19.09
0,1,1,1,1,0,0,1,0,1,0,0,1,0,19.261
1,1,0,1,1,0,0,1,1,0,1,0,0,0,18.864
0,0,1,0,1,1,0,1,1,1,0,0,0,0,19.072
1,0,0,0,1,0,0,1,1,0,0,1,0,1,19.703
1,1,0,0,0,0,0,1,0,0,1,1,1,1,19.937
1,1,0,1,0,0,1,0,0,1,0,1,0,0,19.714
0,0,0,0,0,1,0,1,1,0,0,1,0,1,20.143
0,1,1,1,1,0,0,0,0,1,0,0,1,1,19.108
1,0,0,0,1,1,0,0,1,1,1,0,0,0,19.198
0,1,1,1,0,0,0,0,0,0,1,0,1,1,18.923
1,1,1,1,1,0,0,1,0,1,1,0,1,0,19.078
1,1,0,1,0,0,0,0,1,1,0,0,1,1,19.143
0,0,1,0,0,0,1,0,1,1,0,1,0,0,19.746
0,1,1,0,1,1,0,1,1,0,0,1,1,0,19.745
1,0,0,1,1,0,1,1,0,0,0,1,1,0,19.954
1,1,1,0,0,0,1,0,1,0,0,0,0,1,19.014
0,0,0,0,1,0,0,0,1,0,1,0,1,0,18.855
0,0,0,0,1,0,0,0,0,1,1,1,1,0,19.941
1,0,1,1,1,1,0,1,0,0,0,1,0,0,20.134
0,1,0,1,0,0,0,0,1,0,0,0,0,1,19.367
0,1,0,1,0,0,0,0,0,0,1,1,0,1,19.409
1,1,0,1,1,1,0,1,0,0,0,0,0,0,18.874
0,1,1,0,0,0,1,0,0,1,1,1,0,0,20.045
0,1,1,0,0,0,0,1,0,1,1,0,0,1,18.982
1,1,1,0,1,1,0,0,1,0,1,1,1,1,19.502
0,0,0,0,1,0,1,0,1,0,1,0,1,0,18.839
0,0,0,1,1,1,0,0,0,0,0,1,1,1,19.952
1,0,0,0,1,0,1,1,0,0,1,0,1,0,19.144
1,0,0,1,0,1,0,1,1,0,0,0,1,0,18.852
0,1,1,0,0,0,1,1,1,1,1,1,0,0,19.998
1,0,1,1,0,0,0,0,1,1,1,0,1,0,19.29
0,0,0,1,1,0,0,1,0,1,1,0,1,1,19.03
1,1,1,1,1,0,0,1,1,1,0,0,1,0,18.936
1,0,1,0,0,1,1,1,1,0,1,1,0,1,19.844
0,1,0,1,1,1,0,0,1,1,0,0,1,0,19.118
0,1,1,1,1,1,1,0,1,1,1,0,1,0,18.992
0,1,0,1,0,0,1,1,1,1,1,0,0,0,19.116
1,0,1,1,1,0,1,0,1,1,0,1,1,0,20.214
1,0,0,1,1,1,1,0,0,0,1,1,1,0,19.682
1,0,0,1,0,0,1,1,0,0,0,0,0,1,19.124
1,1,1,0,0,1,0,0,1,0,1,0,1,1,19.006
0,0,1,1,0,1,0,1,1,1,0,0,0,0,18.901
1,0,0,0,1,1,0,1,0,1,1,1,1,0,19.781
1,1,1,0,0,0,0,1,0,0,0,0,0,1,19.104
0,0,1,0,1,1,1,0,0,0,1,0,0,0,18.663
1,1,1,0,0,0,0,0,0,1,1,0,0,0,19.546
0,0,0,0,0,1,1,1,1,0,0,1,1,0,19.757
0,0,1,1,1,0,1,1,0,0,1,0,0,0,18.937
0,1,0,0,0,1,1,1,1,1,0,1,1,0,19.768
0,0,0,1,0,0,0,0,0,1,1,0,0,1,19.766
1,0,0,0,1,1,0,1,0,1,1,1,0,0,19.612
0,0,1,1,0,0,1,1,0,1,1,1,1,0,19.733
0,1,1,1,1,0,1,0,0,0,1,0,1,0,19.192
0,0,0,1,0,0,0,0,0,1,0,1,1,0,19.832
0,1,0,1,0,0,1,0,0,1,1,0,1,1,19.032
0,0,1,1,1,0,1,0,1,1,1,0,1,0,19.232
0,0,0,1,1,0,1,0,1,1,0,0,1,0,19.383
0,0,1,0,0,0,0,0,1,0,1,0,1,1,18.814
0,0,1,0,1,0,1,0,0,0,0,0,0,1,19.344
0,1,1,1,1,1,1,0,1,1,0,1,1,1,20.054
1,1,0,1,0,0,0,1,0,1,0,1,0,0,19.658
1,0,1,1,0,0,0,1,1,1,1,0,0,0,19.232
1,1,0,0,1,1,1,0,0,0,0,1,1,0,19.966
1,0,0,1,1,1,1,0,1,1,1,1,0,1,20.153
0,0,0,0,0,1,0,1,0,0,0,0,0,1,19.017
1,1,1,1,1,1,1,1,1,1,1,0,0,1,19.157
0,0,1,1,0,0,1,1,0,0,1,1,0,0,19.813
1,1,1,0,1,0,1,1,1,1,0,1,0,0,19.813
0,0,0,1,1,0,0,0,0,1,1,0,1,0,19.058
1,1,0,0,1,0,0,0,1,0,0,1,1,0,19.74
0,1,0,1,1,0,0,0,0,0,0,1,1,0,19.822
1,0,0,1,0,1,0,0,1,1,1,1,1,0,19.745
1,1,1,1,1,1,0,0,1,1,1,0,0,0,19.103
1,0,1,0,1,1,0,0,1,1,1,1,0,1,20.339
0,0,1,1,0,1,0,1,0,0,1,1,0,1,19.799
0,1,0,1,0,0,1,1,1,1,1,0,1,1,18.905
1,0,0,1,1,1,1,0,1,0,0,1,1,0,19.855
1,0,0,1,1,0,1,0,1,1,0,1,1,0,20.227
0,0,1,1,0,0,0,0,1,1,0,0,1,0,19.348
0,0,0,0,1,1,1,1,1,0,1,0,1,0,18.91
1,0,0,1,1,1,1,1,1,0,1,0,0,1,19.447
1,1,0,0,0,1,0,0,1,0,0,1,0,0,20.151
1,0,1,1,0,0,0,0,0,0,1,1,0,0,19.791
1,0,1,0,1,0,0,0,1,0,0,1,0,0,19.436
0,1,1,1,1,1,0,1,1,0,0,0,0,0,19.031
0,1,0,0,0,1,0,0,1,0,1,1,0,0,19.851
1,0,0,0,1,1,0,0,0,1,1,0,0,1,18.794
1,1,0,1,1,0,0,1,1,0,0,1,0,0,20.152
1,0,1,1,0,1,0,1,1,1,1,0,1,1,19.283
0,1,1,0,1,1,1,0,0,1,1,0,0,1,18.9
1,1,0,1,0,0,1,1,0,0,1,1,1,0,19.664
0,1,0,1,1,0,1,1,0,1,1,0,1,0,19.24
1,0,0,1,1,0,1,1,0,1,0,1,0,1,20.016
1,1,1,0,1,0,0,0,1,0,0,0,0,1,18.828
0,0,1,1,0,0,1,0,0,1,0,1,0,1,19.622
0,1,1,0,0,0,1,1,0,0,1,0,0,1,19.19
0,1,1,1,1,1,0,0,0,1,1,1,0,1,19.525
1,0,1,0,0,0,1,0,1,0,0,1,0,0,19.594
0,0,1,0,0,1,1,0,1,0,0,0,1,1,19.033
1,1,1,0,0,0,0,1,0,0,1,1,1,1,19.696
0,0,0,1,0,1,1,1,1,1,0,0,0,0,19.008
0,1,1,0,0,0,0,0,1,0,1,1,1,1,19.571
0,1,0,0,0,0,0,1,0,1,1,1,1,0,20.168
