SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$readrandom.4
0,0,0,1,0,1,1,0,0,1,1,1,1,0,10.941
0,0,0,0,1,0,1,0,0,1,0,0,0,1,11.976
0,1,0,1,0,1,0,1,0,0,1,0,1,1,12.361
1,1,0,0,0,1,0,0,1,1,0,1,0,1,11.346
1,0,0,1,1,1,0,1,1,1,0,0,1,1,11.062
1,1,1,1,0,0,1,0,1,1,1,0,1,0,10.87
0,1,1,1,1,1,1,0,0,1,0,1,1,0,11.349
1,0,1,0,1,0,0,1,1,1,0,0,0,1,11.195
1,0,1,1,1,0,1,0,1,1,1,1,1,0,11.726
1,0,0,1,1,1,0,1,1,0,1,1,0,0,11.103
0,1,0,1,0,1,1,0,0,1,0,1,0,0,10.859
0,0,0,1,0,1,0,1,0,1,1,1,0,0,11.098
0,1,0,0,1,1,0,0,1,0,1,0,1,0,10.772
0,1,1,1,1,0,0,1,0,1,0,0,1,0,11.046
1,1,0,1,1,0,0,1,1,0,1,0,0,0,11.216
0,0,1,0,1,1,0,1,1,1,0,0,0,0,11.397
1,0,0,0,1,0,0,1,1,0,0,1,0,1,11.372
1,1,0,0,0,0,0,1,0,0,1,1,1,1,12.684
1,1,0,1,0,0,1,0,0,1,0,1,0,0,11.454
0,0,0,0,0,1,0,1,1,0,0,1,0,1,11.658
0,1,1,1,1,0,0,0,0,1,0,0,1,1,10.941
1,0,0,0,1,1,0,0,1,1,1,0,0,0,11.582
0,1,1,1,0,0,0,0,0,0,1,0,1,1,10.782
1,1,1,1,1,0,0,1,0,1,1,0,1,0,11.445
1,1,0,1,0,0,0,0,1,1,0,0,1,1,11.368
0,0,1,0,0,0,1,0,1,1,0,1,0,0,11.383
0,1,1,0,1,1,0,1,1,0,0,1,1,0,11.282
1,0,0,1,1,0,1,1,0,0,0,1,1,0,11.408
1,1,1,0,0,0,1,0,1,0,0,0,0,1,11.166
0,0,0,0,1,0,0,0,1,0,1,0,1,0,11.321
0,0,0,0,1,0,0,0,0,1,1,1,1,0,11.11
1,0,1,1,1,1,0,1,0,0,0,1,0,0,11.118
0,1,0,1,0,0,0,0,1,0,0,0,0,1,11.313
0,1,0,1,0,0,0,0,0,0,1,1,0,1,11.094
1,1,0,1,1,1,0,1,0,0,0,0,0,0,11.304
0,1,1,0,0,0,1,0,0,1,1,1,0,0,11.141
0,1,1,0,0,0,0,1,0,1,1,0,0,1,11.134
1,1,1,0,1,1,0,0,1,0,1,1,1,1,11.351
0,0,0,0,1,0,1,0,1,0,1,0,1,0,11.495
0,0,0,1,1,1,0,0,0,0,0,1,1,1,11.131
1,0,0,0,1,0,1,1,0,0,1,0,1,0,10.89
1,0,0,1,0,1,0,1,1,0,0,0,1,0,10.874
0,1,1,0,0,0,1,1,1,1,1,1,0,0,11.114
1,0,1,1,0,0,0,0,1,1,1,0,1,0,11.49
0,0,0,1,1,0,0,1,0,1,1,0,1,1,10.914
1,1,1,1,1,0,0,1,1,1,0,0,1,0,10.679
1,0,1,0,0,1,1,1,1,0,1,1,0,1,11.539
0,1,0,1,1,1,0,0,1,1,0,0,1,0,10.957
0,1,1,1,1,1,1,0,1,1,1,0,1,0,10.868
0,1,0,1,0,0,1,1,1,1,1,0,0,0,11.17
1,0,1,1,1,0,1,0,1,1,0,1,1,0,10.948
1,0,0,1,1,1,1,0,0,0,1,1,1,0,10.673
1,0,0,1,0,0,1,1,0,0,0,0,0,1,11.399
1,1,1,0,0,1,0,0,1,0,1,0,1,1,10.887
0,0,1,1,0,1,0,1,1,1,0,0,0,0,11.605
1,0,0,0,1,1,0,1,0,1,1,1,1,0,11.39
1,1,1,0,0,0,0,1,0,0,0,0,0,1,11.19
0,0,1,0,1,1,1,0,0,0,1,0,0,0,11.106
1,1,1,0,0,0,0,0,0,1,1,0,0,0,11.523
0,0,0,0,0,1,1,1,1,0,0,1,1,0,10.568
0,0,1,1,1,0,1,1,0,0,1,0,0,0,10.733
0,1,0,0,0,1,1,1,1,1,0,1,1,0,10.706
0,0,0,1,0,0,0,0,0,1,1,0,0,1,11.406
1,0,0,0,1,1,0,1,0,1,1,1,0,0,11.936
0,0,1,1,0,0,1,1,0,1,1,1,1,0,10.951
0,1,1,1,1,0,1,0,0,0,1,0,1,0,10.646
0,0,0,1,0,0,0,0,0,1,0,1,1,0,11.048
0,1,0,1,0,0,1,0,0,1,1,0,1,1,11.663
0,0,1,1,1,0,1,0,1,1,1,0,1,0,11.11
0,0,0,1,1,0,1,0,1,1,0,0,1,0,11.705
0,0,1,0,0,0,0,0,1,0,1,0,1,1,11.954
0,0,1,0,1,0,1,0,0,0,0,0,0,1,11.042
0,1,1,1,1,1,1,0,1,1,0,1,1,1,11.302
1,1,0,1,0,0,0,1,0,1,0,1,0,0,11.589
1,0,1,1,0,0,0,1,1,1,1,0,0,0,11.68
1,1,0,0,1,1,1,0,0,0,0,1,1,0,11.143
1,0,0,1,1,1,1,0,1,1,1,1,0,1,11.584
0,0,0,0,0,1,0,1,0,0,0,0,0,1,11.803
1,1,1,1,1,1,1,1,1,1,1,0,0,1,11.69
0,0,1,1,0,0,1,1,0,0,1,1,0,0,10.725
1,1,1,0,1,0,1,1,1,1,0,1,0,0,11.213
0,0,0,1,1,0,0,0,0,1,1,0,1,0,10.85
1,1,0,0,1,0,0,0,1,0,0,1,1,0,10.982
0,1,0,1,1,0,0,0,0,0,0,1,1,0,10.966
1,0,0,1,0,1,0,0,1,1,1,1,1,0,10.897
1,1,1,1,1,1,0,0,1,1,1,0,0,0,12.155
1,0,1,0,1,1,0,0,1,1,1,1,0,1,10.971
0,0,1,1,0,1,0,1,0,0,1,1,0,1,11.003
0,1,0,1,0,0,1,1,1,1,1,0,1,1,12.139
1,0,0,1,1,1,1,0,1,0,0,1,1,0,10.724
1,0,0,1,1,0,1,0,1,1,0,1,1,0,11.067
0,0,1,1,0,0,0,0,1,1,0,0,1,0,14.081
0,0,0,0,1,1,1,1,1,0,1,0,1,0,11.084
1,0,0,1,1,1,1,1,1,0,1,0,0,1,11.99
1,1,0,0,0,1,0,0,1,0,0,1,0,0,11.484
1,0,1,1,0,0,0,0,0,0,1,1,0,0,11.636
1,0,1,0,1,0,0,0,1,0,0,1,0,0,11.213
0,1,1,1,1,1,0,1,1,0,0,0,0,0,12.533
0,1,0,0,0,1,0,0,1,0,1,1,0,0,11.151
1,0,0,0,1,1,0,0,0,1,1,0,0,1,11.355
1,1,0,1,1,0,0,1,1,0,0,1,0,0,11.219
1,0,1,1,0,1,0,1,1,1,1,0,1,1,11.423
0,1,1,0,1,1,1,0,0,1,1,0,0,1,11.096
1,1,0,1,0,0,1,1,0,0,1,1,1,0,10.729
0,1,0,1,1,0,1,1,0,1,1,0,1,0,10.843
1,0,0,1,1,0,1,1,0,1,0,1,0,1,11.257
1,1,1,0,1,0,0,0,1,0,0,0,0,1,11.37
0,0,1,1,0,0,1,0,0,1,0,1,0,1,11.293
0,1,1,0,0,0,1,1,0,0,1,0,0,1,11.047
0,1,1,1,1,1,0,0,0,1,1,1,0,1,11.234
1,0,1,0,0,0,1,0,1,0,0,1,0,0,11.283
0,0,1,0,0,1,1,0,1,0,0,0,1,1,10.849
1,1,1,0,0,0,0,1,0,0,1,1,1,1,10.978
0,0,0,1,0,1,1,1,1,1,0,0,0,0,11.304
0,1,1,0,0,0,0,0,1,0,1,1,1,1,11.614
0,1,0,0,0,0,0,1,0,1,1,1,1,0,10.859
0,1,1,1,1,0,1,1,1,1,1,0,0,0,11.612
0,0,0,1,1,0,0,0,0,1,1,1,0,1,11.199
1,0,1,0,0,1,0,0,0,0,0,0,1,1,10.91
1,0,1,0,1,1,0,0,1,1,0,1,0,0,11.204
0,1,1,1,0,1,0,0,0,0,0,1,0,0,11.042
1,0,1,1,0,1,0,1,0,0,0,0,1,1,10.982
0,1,1,1,1,0,0,1,1,1,1,0,0,0,11.302
0,1,0,1,1,0,1,0,0,1,1,0,1,0,11.14
0,0,1,1,1,0,0,1,1,1,1,0,1,0,10.929
1,0,1,1,1,1,1,1,0,1,1,0,1,0,11.388
0,0,1,1,1,0,1,0,0,1,1,1,0,1,11.027
1,1,0,0,0,0,1,1,1,1,1,0,1,0,11.085
0,1,1,1,0,1,0,0,0,0,1,1,1,0,11.188
