SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$overwrite.3
0,0,0,1,0,1,1,0,0,1,1,1,1,0,25.429
0,0,0,0,1,0,1,0,0,1,0,0,0,1,21.737
0,1,0,1,0,1,0,1,0,0,1,0,1,1,22.432
1,1,0,0,0,1,0,0,1,1,0,1,0,1,25.691
1,0,0,1,1,1,0,1,1,1,0,0,1,1,21.833
1,1,1,1,0,0,1,0,1,1,1,0,1,0,21.984
0,1,1,1,1,1,1,0,0,1,0,1,1,0,25.952
1,0,1,0,1,0,0,1,1,1,0,0,0,1,21.706
1,0,1,1,1,0,1,0,1,1,1,1,1,0,24.939
1,0,0,1,1,1,0,1,1,0,1,1,0,0,25.474
0,1,0,1,0,1,1,0,0,1,0,1,0,0,25.007
0,0,0,1,0,1,0,1,0,1,1,1,0,0,25.101
0,1,0,0,1,1,0,0,1,0,1,0,1,0,21.3
0,1,1,1,1,0,0,1,0,1,0,0,1,0,21.479
1,1,0,1,1,0,0,1,1,0,1,0,0,0,21.689
0,0,1,0,1,1,0,1,1,1,0,0,0,0,21.797
1,0,0,0,1,0,0,1,1,0,0,1,0,1,24.926
1,1,0,0,0,0,0,1,0,0,1,1,1,1,25.316
1,1,0,1,0,0,1,0,0,1,0,1,0,0,25.004
0,0,0,0,0,1,0,1,1,0,0,1,0,1,24.828
0,1,1,1,1,0,0,0,0,1,0,0,1,1,21.527
1,0,0,0,1,1,0,0,1,1,1,0,0,0,21.548
0,1,1,1,0,0,0,0,0,0,1,0,1,1,21.647
1,1,1,1,1,0,0,1,0,1,1,0,1,0,21.614
1,1,0,1,0,0,0,0,1,1,0,0,1,1,22.225
0,0,1,0,0,0,1,0,1,1,0,1,0,0,24.738
0,1,1,0,1,1,0,1,1,0,0,1,1,0,24.799
1,0,0,1,1,0,1,1,0,0,0,1,1,0,25.099
1,1,1,0,0,0,1,0,1,0,0,0,0,1,22.036
0,0,0,0,1,0,0,0,1,0,1,0,1,0,21.759
0,0,0,0,1,0,0,0,0,1,1,1,1,0,24.901
1,0,1,1,1,1,0,1,0,0,0,1,0,0,24.764
0,1,0,1,0,0,0,0,1,0,0,0,0,1,21.867
0,1,0,1,0,0,0,0,0,0,1,1,0,1,25.098
1,1,0,1,1,1,0,1,0,0,0,0,0,0,22.559
0,1,1,0,0,0,1,0,0,1,1,1,0,0,24.853
0,1,1,0,0,0,0,1,0,1,1,0,0,1,21.503
1,1,1,0,1,1,0,0,1,0,1,1,1,1,24.994
0,0,0,0,1,0,1,0,1,0,1,0,1,0,21.575
0,0,0,1,1,1,0,0,0,0,0,1,1,1,24.424
1,0,0,0,1,0,1,1,0,0,1,0,1,0,21.443
1,0,0,1,0,1,0,1,1,0,0,0,1,0,21.928
0,1,1,0,0,0,1,1,1,1,1,1,0,0,25.402
1,0,1,1,0,0,0,0,1,1,1,0,1,0,21.524
0,0,0,1,1,0,0,1,0,1,1,0,1,1,21.977
1,1,1,1,1,0,0,1,1,1,0,0,1,0,21.845
1,0,1,0,0,1,1,1,1,0,1,1,0,1,24.607
0,1,0,1,1,1,0,0,1,1,0,0,1,0,21.391
0,1,1,1,1,1,1,0,1,1,1,0,1,0,21.852
0,1,0,1,0,0,1,1,1,1,1,0,0,0,21.272
1,0,1,1,1,0,1,0,1,1,0,1,1,0,24.757
1,0,0,1,1,1,1,0,0,0,1,1,1,0,24.856
1,0,0,1,0,0,1,1,0,0,0,0,0,1,21.734
1,1,1,0,0,1,0,0,1,0,1,0,1,1,21.402
0,0,1,1,0,1,0,1,1,1,0,0,0,0,21.517
1,0,0,0,1,1,0,1,0,1,1,1,1,0,24.962
1,1,1,0,0,0,0,1,0,0,0,0,0,1,21.943
0,0,1,0,1,1,1,0,0,0,1,0,0,0,21.818
1,1,1,0,0,0,0,0,0,1,1,0,0,0,22.035
0,0,0,0,0,1,1,1,1,0,0,1,1,0,25.308
0,0,1,1,1,0,1,1,0,0,1,0,0,0,21.641
0,1,0,0,0,1,1,1,1,1,0,1,1,0,24.998
0,0,0,1,0,0,0,0,0,1,1,0,0,1,21.862
1,0,0,0,1,1,0,1,0,1,1,1,0,0,25.226
0,0,1,1,0,0,1,1,0,1,1,1,1,0,24.877
0,1,1,1,1,0,1,0,0,0,1,0,1,0,21.415
0,0,0,1,0,0,0,0,0,1,0,1,1,0,25.146
0,1,0,1,0,0,1,0,0,1,1,0,1,1,21.905
0,0,1,1,1,0,1,0,1,1,1,0,1,0,21.408
0,0,0,1,1,0,1,0,1,1,0,0,1,0,22.056
0,0,1,0,0,0,0,0,1,0,1,0,1,1,21.652
0,0,1,0,1,0,1,0,0,0,0,0,0,1,21.242
0,1,1,1,1,1,1,0,1,1,0,1,1,1,25.529
1,1,0,1,0,0,0,1,0,1,0,1,0,0,24.862
1,0,1,1,0,0,0,1,1,1,1,0,0,0,22.074
1,1,0,0,1,1,1,0,0,0,0,1,1,0,25.073
1,0,0,1,1,1,1,0,1,1,1,1,0,1,25.188
0,0,0,0,0,1,0,1,0,0,0,0,0,1,21.721
1,1,1,1,1,1,1,1,1,1,1,0,0,1,22.041
