SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$overwrite.5
0,0,0,1,0,1,1,0,0,1,1,1,1,0,52.516
0,0,0,0,1,0,1,0,0,1,0,0,0,1,54.215
0,1,0,1,0,1,0,1,0,0,1,0,1,1,44.962
1,1,0,0,0,1,0,0,1,1,0,1,0,1,59.185
1,0,0,1,1,1,0,1,1,1,0,0,1,1,52.448
1,1,1,1,0,0,1,0,1,1,1,0,1,0,61.011
0,1,1,1,1,1,1,0,0,1,0,1,1,0,58.575
1,0,1,0,1,0,0,1,1,1,0,0,0,1,49.917
1,0,1,1,1,0,1,0,1,1,1,1,1,0,53.521
1,0,0,1,1,1,0,1,1,0,1,1,0,0,52.886
0,1,0,1,0,1,1,0,0,1,0,1,0,0,65.801
0,0,0,1,0,1,0,1,0,1,1,1,0,0,53.604
0,1,0,0,1,1,0,0,1,0,1,0,1,0,48.015
0,1,1,1,1,0,0,1,0,1,0,0,1,0,48.03
1,1,0,1,1,0,0,1,1,0,1,0,0,0,49.46
0,0,1,0,1,1,0,1,1,1,0,0,0,0,48.313
1,0,0,0,1,0,0,1,1,0,0,1,0,1,49.805
1,1,0,0,0,0,0,1,0,0,1,1,1,1,63.176
1,1,0,1,0,0,1,0,0,1,0,1,0,0,61.138
0,0,0,0,0,1,0,1,1,0,0,1,0,1,64.614
0,1,1,1,1,0,0,0,0,1,0,0,1,1,56.084
1,0,0,0,1,1,0,0,1,1,1,0,0,0,76.965
0,1,1,1,0,0,0,0,0,0,1,0,1,1,59.915
1,1,1,1,1,0,0,1,0,1,1,0,1,0,60.204
1,1,0,1,0,0,0,0,1,1,0,0,1,1,51.116
0,0,1,0,0,0,1,0,1,1,0,1,0,0,65.562
0,1,1,0,1,1,0,1,1,0,0,1,1,0,68.625
1,0,0,1,1,0,1,1,0,0,0,1,1,0,75.854
1,1,1,0,0,0,1,0,1,0,0,0,0,1,62.331
0,0,0,0,1,0,0,0,1,0,1,0,1,0,62.424
0,0,0,0,1,0,0,0,0,1,1,1,1,0,82.85
1,0,1,1,1,1,0,1,0,0,0,1,0,0,71.14
0,1,0,1,0,0,0,0,1,0,0,0,0,1,58.988
0,1,0,1,0,0,0,0,0,0,1,1,0,1,60.971
1,1,0,1,1,1,0,1,0,0,0,0,0,0,49.063
0,1,1,0,0,0,1,0,0,1,1,1,0,0,64.837
0,1,1,0,0,0,0,1,0,1,1,0,0,1,42.291
1,1,1,0,1,1,0,0,1,0,1,1,1,1,46.948
0,0,0,0,1,0,1,0,1,0,1,0,1,0,54.965
0,0,0,1,1,1,0,0,0,0,0,1,1,1,63.343
1,0,0,0,1,0,1,1,0,0,1,0,1,0,62.752
1,0,0,1,0,1,0,1,1,0,0,0,1,0,51.421
0,1,1,0,0,0,1,1,1,1,1,1,0,0,64.241
1,0,1,1,0,0,0,0,1,1,1,0,1,0,66.719
0,0,0,1,1,0,0,1,0,1,1,0,1,1,54.067
1,1,1,1,1,0,0,1,1,1,0,0,1,0,66.526
1,0,1,0,0,1,1,1,1,0,1,1,0,1,76.364
0,1,0,1,1,1,0,0,1,1,0,0,1,0,59.569
0,1,1,1,1,1,1,0,1,1,1,0,1,0,60.688
0,1,0,1,0,0,1,1,1,1,1,0,0,0,53.726
1,0,1,1,1,0,1,0,1,1,0,1,1,0,78.997
1,0,0,1,1,1,1,0,0,0,1,1,1,0,73.422
1,0,0,1,0,0,1,1,0,0,0,0,0,1,60.697
1,1,1,0,0,1,0,0,1,0,1,0,1,1,74.13
0,0,1,1,0,1,0,1,1,1,0,0,0,0,70.03
1,0,0,0,1,1,0,1,0,1,1,1,1,0,48.198
1,1,1,0,0,0,0,1,0,0,0,0,0,1,44.688
0,0,1,0,1,1,1,0,0,0,1,0,0,0,48.048
1,1,1,0,0,0,0,0,0,1,1,0,0,0,57.519
0,0,0,0,0,1,1,1,1,0,0,1,1,0,47.3
0,0,1,1,1,0,1,1,0,0,1,0,0,0,63.585
0,1,0,0,0,1,1,1,1,1,0,1,1,0,58.422
0,0,0,1,0,0,0,0,0,1,1,0,0,1,51.565
1,0,0,0,1,1,0,1,0,1,1,1,0,0,47.505
0,0,1,1,0,0,1,1,0,1,1,1,1,0,46.462
0,1,1,1,1,0,1,0,0,0,1,0,1,0,49.861
0,0,0,1,0,0,0,0,0,1,0,1,1,0,61.452
0,1,0,1,0,0,1,0,0,1,1,0,1,1,49.404
0,0,1,1,1,0,1,0,1,1,1,0,1,0,48.697
0,0,0,1,1,0,1,0,1,1,0,0,1,0,42.139
0,0,1,0,0,0,0,0,1,0,1,0,1,1,45.904
0,0,1,0,1,0,1,0,0,0,0,0,0,1,42.905
0,1,1,1,1,1,1,0,1,1,0,1,1,1,51.134
1,1,0,1,0,0,0,1,0,1,0,1,0,0,56.134
1,0,1,1,0,0,0,1,1,1,1,0,0,0,60.599
1,1,0,0,1,1,1,0,0,0,0,1,1,0,59.149
1,0,0,1,1,1,1,0,1,1,1,1,0,1,56.735
0,0,0,0,0,1,0,1,0,0,0,0,0,1,46.849
1,1,1,1,1,1,1,1,1,1,1,0,0,1,49.02
0,0,1,1,0,0,1,1,0,0,1,1,0,0,65.568
1,1,1,0,1,0,1,1,1,1,0,1,0,0,54.854
0,0,0,1,1,0,0,0,0,1,1,0,1,0,58.212
1,1,0,0,1,0,0,0,1,0,0,1,1,0,57.676
0,1,0,1,1,0,0,0,0,0,0,1,1,0,57.632
1,0,0,1,0,1,0,0,1,1,1,1,1,0,70.004
1,1,1,1,1,1,0,0,1,1,1,0,0,0,50.009
1,0,1,0,1,1,0,0,1,1,1,1,0,1,64.802
0,0,1,1,0,1,0,1,0,0,1,1,0,1,59.713
0,1,0,1,0,0,1,1,1,1,1,0,1,1,62.698
1,0,0,1,1,1,1,0,1,0,0,1,1,0,51.655
1,0,0,1,1,0,1,0,1,1,0,1,1,0,80.685
0,0,1,1,0,0,0,0,1,1,0,0,1,0,56.863
0,0,0,0,1,1,1,1,1,0,1,0,1,0,62.545
1,0,0,1,1,1,1,1,1,0,1,0,0,1,57.698
1,1,0,0,0,1,0,0,1,0,0,1,0,0,61.687
1,0,1,1,0,0,0,0,0,0,1,1,0,0,70.321
1,0,1,0,1,0,0,0,1,0,0,1,0,0,64.187
0,1,1,1,1,1,0,1,1,0,0,0,0,0,52.742
0,1,0,0,0,1,0,0,1,0,1,1,0,0,77.266
1,0,0,0,1,1,0,0,0,1,1,0,0,1,79.916
1,1,0,1,1,0,0,1,1,0,0,1,0,0,73.459
1,0,1,1,0,1,0,1,1,1,1,0,1,1,63.303
0,1,1,0,1,1,1,0,0,1,1,0,0,1,65.392
1,1,0,1,0,0,1,1,0,0,1,1,1,0,78.239
0,1,0,1,1,0,1,1,0,1,1,0,1,0,59.663
1,0,0,1,1,0,1,1,0,1,0,1,0,1,75.904
1,1,1,0,1,0,0,0,1,0,0,0,0,1,61.126
0,0,1,1,0,0,1,0,0,1,0,1,0,1,58.796
0,1,1,0,0,0,1,1,0,0,1,0,0,1,59.363
0,1,1,1,1,1,0,0,0,1,1,1,0,1,48.673
1,0,1,0,0,0,1,0,1,0,0,1,0,0,49.997
0,0,1,0,0,1,1,0,1,0,0,0,1,1,54.7
1,1,1,0,0,0,0,1,0,0,1,1,1,1,62.049
0,0,0,1,0,1,1,1,1,1,0,0,0,0,53.765
0,1,1,0,0,0,0,0,1,0,1,1,1,1,53.979
0,1,0,0,0,0,0,1,0,1,1,1,1,0,51.723
0,1,1,1,1,0,1,1,1,1,1,0,0,0,48.8
0,0,0,1,1,0,0,0,0,1,1,1,0,1,57.827
1,0,1,0,0,1,0,0,0,0,0,0,1,1,47.314
1,0,1,0,1,1,0,0,1,1,0,1,0,0,52.237
0,1,1,1,0,1,0,0,0,0,0,1,0,0,71.29
1,0,1,1,0,1,0,1,0,0,0,0,1,1,51.967
0,1,1,1,1,0,0,1,1,1,1,0,0,0,52.387
0,1,0,1,1,0,1,0,0,1,1,0,1,0,62.329
0,0,1,1,1,0,0,1,1,1,1,0,1,0,59.96
1,0,1,1,1,1,1,1,0,1,1,0,1,0,53.623
0,0,1,1,1,0,1,0,0,1,1,1,0,1,56.458
1,1,0,0,0,0,1,1,1,1,1,0,1,0,58.934
0,1,1,1,0,1,0,0,0,0,1,1,1,0,61.345
1,1,1,1,0,1,1,1,1,1,1,0,1,1,50.158
1,1,1,0,0,0,1,0,0,1,1,0,1,1,60.095
1,0,0,0,0,1,1,1,1,1,0,1,1,0,57.763
1,1,0,1,1,0,1,1,0,1,0,1,1,1,59.158
1,0,1,1,1,1,0,0,1,0,1,0,0,1,43.803
0,0,1,1,0,0,1,0,0,0,1,0,1,0,51.623
1,1,0,1,0,1,0,1,0,1,0,0,0,0,52.682
1,1,1,0,0,1,1,0,1,0,0,1,0,0,55.336
1,1,0,1,0,1,1,0,1,1,0,1,0,1,67.035
1,0,1,0,1,0,1,1,0,1,0,1,1,0,60.756
1,0,1,1,0,1,0,0,1,0,1,1,0,1,58.09
1,0,0,0,1,0,0,1,0,1,1,0,1,1,41.283
1,0,0,1,0,0,0,1,1,1,1,0,0,0,59.258
1,0,1,0,0,1,1,1,1,1,1,0,0,1,59.649
1,0,0,0,0,1,0,1,0,0,0,0,1,0,49.166
0,1,1,1,1,1,0,0,1,1,0,0,1,1,52.235
1,1,1,1,1,1,0,1,0,0,0,1,1,0,63.147
1,1,1,1,0,0,1,0,1,1,0,0,1,0,50.698
0,1,0,1,0,0,1,0,1,0,0,1,0,0,60.051
0,1,0,1,1,0,1,0,1,1,1,0,0,1,69.033
0,0,1,1,0,1,0,1,1,0,0,0,0,0,50.795
0,0,1,1,0,1,0,1,0,1,0,0,1,0,61.99
0,0,0,1,1,0,0,0,0,1,1,0,1,0,53.172
0,1,1,0,1,0,0,1,0,0,0,1,1,0,50.561
0,1,1,1,0,1,0,1,0,0,1,1,1,1,53.46
1,1,0,0,1,1,1,0,0,1,1,1,1,1,46.658
1,1,1,0,0,0,0,1,1,0,0,1,1,1,58.061
1,1,1,1,1,1,0,1,1,0,0,0,1,0,53.537
1,1,0,0,0,1,0,1,1,0,1,1,1,0,72.677
0,1,0,0,0,1,0,1,1,0,0,1,0,0,47.652
1,0,1,1,1,1,0,1,1,0,0,1,1,1,60.09
1,0,0,1,1,1,0,0,1,0,1,0,1,1,55.907
0,1,0,1,1,1,0,1,1,0,0,1,1,0,56.791
1,1,1,1,1,1,1,1,1,0,0,0,1,0,49.615
0,0,1,1,1,1,0,1,1,1,1,1,1,1,65.166
0,1,1,0,0,0,0,0,0,1,0,1,1,1,50.672
1,0,1,0,0,0,1,1,1,0,0,0,0,1,60.836
1,1,0,1,0,0,0,0,0,0,0,0,1,0,49.142
0,1,1,0,1,1,1,1,1,1,0,0,1,1,52.04
1,1,1,1,1,0,1,0,1,0,0,0,1,1,49.395
1,1,1,0,0,1,0,0,0,1,1,1,0,0,52.841
0,1,1,1,1,0,1,0,0,1,1,1,1,0,51.108
