Target Files,10,20,30,40,50,60,70,80,90,100,s10,s20,s30,s40,s50,s60,s70,s80,s90,s100
x264_17,0.65807042309500119,1.1635448060150004,4.77053370462,7.4619463624550022,3.122496471209999,5.8444283370600019,7.6336169076100013,7.0861786136600013,15.95391599585,17.054514935290001,same,same,better,better,same,better,better,better,better,better
x264_16,-3.9142633211,-7.8790735713500002,-4.042618444515,-5.195542783144,1.081931460661,-5.9315969421950001,1.6214773334159993,-7.4150641207319978,-5.9088792212399994,19.418539932119995,same,same,same,same,same,same,same,same,same,same
x264_15,-0.039139288092150004,-0.026099385206000011,-0.013039902886000015,0.032638916082700004,-0.0065199514430000077,-0.052198770411700013,-0.0065199514430000077,-0.026099385205900008,0.039158867525250024,0.045678818968650003,same,same,same,same,same,same,same,same,same,same
x264_14,-1.4795918367379999,-4.0306122448959991,0.37414965986100035,-1.9557823129249998,1.6241496598640004,-1.999733711954832e-12,-0.22108843537399997,2.0408163265290002,1.7006802721060001,1.8452380952360001,same,worse,same,worse,same,same,same,same,same,same
x264_13,-0.70671378092000003,1.2349823321549995,-0.17667844522949994,-0.17667844522949994,-0.76501766784699987,0.41166077738450002,0.17667844522749987,1.0583038869264998,1.2950530035355001,1.0583038869264998,same,same,same,same,same,same,same,same,same,better
x264_12,0.58833909789999994,1.2942048422409997,0.11787957930549964,-0.58798616503400014,0.47081245147100004,1.2942048422409997,1.294557775111,0.35328580504049967,0.35293287216999958,1.7650172937115005,same,same,same,same,same,same,same,same,same,same
x264_11,-0.15464670197649999,0.02190275178249999,0.0,0.13274395019400001,0.065708255346999977,0.0,0.087611007128999982,0.0,0.088938446629999987,0.0,same,same,same,better,same,same,better,same,better,same
x264_10,-0.065985019616999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,same,same,same,same,same,same,same,same,same,same
x264_2,-1.7190016103074999,-0.4951690821300001,-0.59983896940800008,0.0,-0.5595813204575002,-0.092592592595000189,-0.73268921095000006,-0.76086956521700022,-0.82930756843900011,0.12479871175249979,worse,worse,same,same,worse,worse,same,same,same,same
x264_19,-41.2234593411888,-40.7940466075515,-10.992183155249997,-10.526890892007508,-9.9157972676499995,-2.3512508093346085,-0.83884709281120706,20.978353227437804,43.985286131086802,41.8865782834256,same,same,same,same,same,same,same,same,same,same
x264_18,0.55666666666499975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,same,same,same,same,same,same,same,same,same,same
x264_7,0.0,0.0,0.13913842811199995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,same,same,same,same,same,same,same,same,same,same
x264_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,same,same,same,same,same,same,same,same,same,same
x264_5,-0.13884798250000019,0.41864770480500013,-0.35343122817000006,-1.40530988345,-1.40530988345,-0.70265494172499998,-0.13884798250000002,-1.40530988345,-1.40530988345,-1.40530988345,same,same,same,worse,same,same,same,worse,same,worse
x264_4,-2.7615429573369998,-1.4513929475925003,-1.1299435028240001,-1.4562633937265002,-1.2955386713410002,-0.9692187804400002,-2.5959477888209999,-0.97408922657200014,-1.6169881161100002,-0.9740892265729999,worse,worse,worse,worse,worse,worse,worse,worse,worse,worse
x264_3,-2.0833333333350006,-4.8583333333250014,-2.0812499999950003,-2.7770833333350002,-4.1624999999950001,-2.7750000000000004,-5.5541666666600014,-3.4708333333300003,-2.7770833333349998,-4.1666666666700003,same,worse,worse,same,worse,worse,worse,worse,worse,worse
x264_20,-1.4544303325999994,-4.0907792965349987,-12.438079630564003,-3.4017405986495,-14.335108694319999,-6.9443927148304994,-5.2453846822005019,-1.6387947409499972,0.40969868519999864,-4.0224961822999994,same,worse,worse,same,worse,worse,same,same,same,worse
x264_1,-2.7409548489949995,-0.49586364995400023,-0.82976178610450024,0.99671085418099981,0.41363500448500001,0.4983554270904999,0.74504136349999994,1.4950662812700002,0.82727000897000003,0.74753314063549992,worse,same,worse,same,same,same,same,same,same,same
x264_0,-4.0741728329249991,-1.4821234139949999,-2.9642468279899994,-4.0741728329224998,-3.3342221629674995,-3.7041974979449996,-0.73995066995500003,-1.4821234139949999,0.0,-0.73995066995500003,worse,same,same,worse,same,same,same,same,same,same
x264_8,0.22608201226500002,0.270756900917,-0.09070356180700001,0.270756900917,0.11304100613249997,0.180730231362,0.18140712361400002,0.044674888651500003,0.180730231362,0.04602867315499997,same,same,same,same,same,same,better,better,better,better
